Name,Address,Lat,Long,Styrofoam containers?,Plastic Straws?,Individual Packaged Condiments,Recycled/compostable Items?,
Merida Mexican Restaurant,"2509 Navigation Blvd, Houston, TX 77003",29.7582547,-95.34373,,TRUE,,,"Beverage containers, Straws"
Pappas Bar-B-Q,"8777 Main St, Houston, TX 77025",29.6914213,-95.416682,,FALSE,TRUE,,"Beverage containers, Straws, Plates or serving containers, Utensils, Sides containers, Condiments containers, Containers for left overs or take out, Bags for left overs or take out"
KFC,"1945 El Dorado Blvd, Houston, TX 77062",29.5783605,-95.1219741,,,,,"Straws, Utensils, Sides containers, Condiments containers, Bags for left overs or take out"
JuiceLand,"3206 White Oak Dr, Houston, TX 77007",29.7817546,-95.3922153,,,,,"Condiments containers, Containers for left overs or take out"
Nam Eatery,"B, 502 E 20th St, Houston, TX 77008",29.8038321,-95.3930349,,,TRUE,,"Beverage containers, Straws, Condiments containers, Containers for left overs or take out, Bags for left overs or take out, Utensils for left overs or take out"
Brasil,"2604 Dunlavy St, Houston, TX 77005",29.74256,-95.402257,,,,,"Beverage containers, Straws, Containers for left overs or take out, Bags for left overs or take out"
Empire Café,"1732 Westheimer Rd, Houston, TX 77098",29.7428851,-95.4035421,,,,,"Beverage containers, Straws, Containers for left overs or take out, Bags for left overs or take out"
Panera Bread,"3151 W Holcombe Blvd, Houston, TX 77025",29.7428851,-95.4035421,,,,,"Beverage containers, Straws, Containers for left overs or take out, Bags for left overs or take out, Utensils for left overs or take out"
Oui Banh Mi,"1601 Richmond Ave, Houston, TX 77006",29.7341564,-95.399702,,,,,"Beverage containers, Straws, Utensils, Containers for left overs or take out, Bags for left overs or take out, Utensils for left overs or take out"
"CoCo Crêpes, Waffles & Coffee","2339 University Blvd, Houston, TX 77005",29.7147249,-95.4143684,,,,,"Beverage containers, Straws, Containers for left overs or take out, Bags for left overs or take out, Utensils for left overs or take out"
Baytown Seafood,"925 Main St, Liberty, TX 77575",30.0647931,-94.7964505,,,,,"Beverage containers, Straws, Plates or serving containers, Utensils, Condiments containers, Containers for left overs or take out, Bags for left overs or take out"
Doc's Motorworks Bar & Grill,"1303 Westheimer Rd, Houston, TX 77006",29.7434544,-95.3951208,,,,,"Straws, Containers for left overs or take out"
Empire Café,"1732 Westheimer Rd, Houston, TX 77098",29.7428851,-95.4035421,,,,,Containers for left overs or take out
Dimassi's Mediterranean Buffet,"8236 Kirby Dr, Houston, TX 77054",29.6888774,-95.4131409,,,,,"Straws, Containers for left overs or take out"
Sweet Tomatoes,"8775 Katy Fwy, Houston, TX 77024",29.7833054,-95.5056817,,,,,"Straws, Condiments containers, Containers for left overs or take out"
Barnaby's Cafe,"801 Congress Ave, Houston, TX 77002",29.7633057,-95.3620762,,,,,Straws
Little Pappas Seafood Kitchen,"3001 S Shepherd Dr, Houston, TX 77098",29.7390759,-95.4102888,,,,,"Straws, Containers for left overs or take out, Bags for left overs or take out"
Liberty Taco,"a, 4703 Richmond Ave, Houston, TX 77027",29.7322076,-95.4566904,,,,,"Beverage containers, Straws, Utensils, Condiments containers, Containers for left overs or take out, Bags for left overs or take out, Utensils for left overs or take out"
