,Restaurant Name,Notes,Address,Latitude,Longitude
,Merida Mexican Restaurant,"Beverage containers, Straws","2509 Navigation Blvd, Houston, TX 77003",29.7582547,-95.34373
,Pappas Bar-B-Q,"Beverage containers, Straws, Plates or serving containers, Utensils, Sides containers, Condiments containers, Containers for left overs or take out, Bags for left overs or take out","8777 Main St, Houston, TX 77025",29.6914213,-95.416682
,KFC,"Straws, Utensils, Sides containers, Condiments containers, Bags for left overs or take out","1945 El Dorado Blvd, Houston, TX 77062",29.5783605,-95.1219741
,JuiceLand,"Condiments containers, Containers for left overs or take out","3206 White Oak Dr, Houston, TX 77007",29.7817546,-95.3922153
,Nam Eatery,"Beverage containers, Straws, Condiments containers, Containers for left overs or take out, Bags for left overs or take out, Utensils for left overs or take out","B, 502 E 20th St, Houston, TX 77008",29.8038321,-95.3930349
,Brasil,"Beverage containers, Straws, Containers for left overs or take out, Bags for left overs or take out","2604 Dunlavy St, Houston, TX 77005",29.74256,-95.402257
,Empire Café,"Beverage containers, Straws, Containers for left overs or take out, Bags for left overs or take out","1732 Westheimer Rd, Houston, TX 77098",29.7428851,-95.4035421
,Panera Bread,"Beverage containers, Straws, Containers for left overs or take out, Bags for left overs or take out, Utensils for left overs or take out","3151 W Holcombe Blvd, Houston, TX 77025",29.7428851,-95.4035421
,Oui Banh Mi,"Beverage containers, Straws, Utensils, Containers for left overs or take out, Bags for left overs or take out, Utensils for left overs or take out","1601 Richmond Ave, Houston, TX 77006",29.7341564,-95.399702
,"CoCo Crêpes, Waffles & Coffee","Beverage containers, Straws, Containers for left overs or take out, Bags for left overs or take out, Utensils for left overs or take out","2339 University Blvd, Houston, TX 77005",29.7147249,-95.4143684
,Baytown Seafood,"Beverage containers, Straws, Plates or serving containers, Utensils, Condiments containers, Containers for left overs or take out, Bags for left overs or take out","925 Main St, Liberty, TX 77575",30.0647931,-94.7964505
,Doc's Motorworks Bar & Grill,"Straws, Containers for left overs or take out","1303 Westheimer Rd, Houston, TX 77006",29.7434544,-95.3951208
,Empire Café,Containers for left overs or take out,"1732 Westheimer Rd, Houston, TX 77098",29.7428851,-95.4035421
,Dimassi's Mediterranean Buffet,"Straws, Containers for left overs or take out","8236 Kirby Dr, Houston, TX 77054",29.6888774,-95.4131409
,Sweet Tomatoes,"Straws, Condiments containers, Containers for left overs or take out","8775 Katy Fwy, Houston, TX 77024",29.7833054,-95.5056817
,Barnaby's Cafe,Straws,"801 Congress Ave, Houston, TX 77002",29.7633057,-95.3620762
,Little Pappas Seafood Kitchen,"Straws, Containers for left overs or take out, Bags for left overs or take out","3001 S Shepherd Dr, Houston, TX 77098",29.7390759,-95.4102888
,Liberty Taco,"Beverage containers, Straws, Utensils, Condiments containers, Containers for left overs or take out, Bags for left overs or take out, Utensils for left overs or take out","a, 4703 Richmond Ave, Houston, TX 77027",29.7322076,-95.4566904
,la Madeleine French Bakery & Café Sunset Valley,"Beverage containers, Straws","5493 Brodie Ln, Sunset Valley, TX 78745",30.2296154,-97.8195869
,Cafe Express,"Beverage containers, Straws, Containers for left overs or take out, Bags for left overs or take out, Utensils for left overs or take out, They ONLY use plastic disposable beverage containers- for dining in the restaurant and for take out.","1422 W Gray St, Houston, TX 77019",29.7535843,-95.3994502
,Platypus Brewing,Containers for left overs or take out,"1902 Washington Ave suite e, Houston, TX 77007",29.768051,-95.3775152
,bellagreen,"Containers for left overs or take out, Utensils for left overs or take out, Some take out is paper","2305 West Alabama Street SteR2, Houston, TX 77098",29.7382312,-95.4153755
,Tiny's No. 5,"Straws, Containers for left overs or take out","3636 Rice Boulevard, West University Place, TX 77005",29.7172369,-95.4334791
,Restrospect Coffee Bar,"Straws, Utensils, Utensils for left overs or take out","3709 La Branch St, Houston, TX 77004",29.7353569,-95.3754197
,Hunan's Restaurant,"Straws, Containers for left overs or take out, Bags for left overs or take out","3835 Bellaire Blvd, Houston, TX 77025",29.7053693,-95.4381231
,Chipotle MexicanGrill,Utensils for left overs or take out,"13313 FM 1960, Houston, TX 77065",29.9158626,-95.6165062
